Sushi Sandwiches,The food item in the image is a chicken sandwich.,a lunch box filled with a variety of fruits and vegetables,"shredded chicken, carrots, celery, oranges, and grapes in a metal container","a lunch box is filled with a variety of fruits and vegetables, including carrots, celery, lettuce, tomatoes, and cucumbers."
Bacon-Cheddar Muffins,The food item in the image is muffins.,muffins with bacon and rosemary on a wooden board,muffins with bacon and rosemary on a wooden table,muffins with bacon and rosemary on a wooden table
Fish and Chips with Malt Vinegar Mayonnaise,The food item in the image is fish and chips.,a plate of fish and chips with a side of dipping sauce,a plate of fish and fries on a table,a white plate with fish and fries on it
Chocolate-Malt Ice Cream,The food item in the image is ice cream.,three scoops of chocolate ice cream in a bowl,three scoops of chocolate ice cream in a bowl,three scoops of chocolate ice cream in a bowl
Vegetable Quesadillas with Fresh Salsa,The food item in the image is a quesadilla.,quesadillas are cut into slices and arranged in a circle,quesadillas are arranged in a circle on a white background,a stack of quesadillas in a circle
Cocoa Brownies,The food item in the image is brownies.,brownies cut into squares on a white background,brownies cut into squares on a white background,squares of brownies on a white background
Lasagna with Turkey Sausage Bolognese,The food item in the image is lasagna.,cheesy lasagna on a plate,lasagna on a plate,a slice of lasagna on a plate
Chocolate Mayonnaise Cake,The food item in the image is a chocolate cake.,a chocolate cake with chocolate frosting on a plate,"chocolate cake, flour, cocoa powder, baking soda, salt",a chocolate cake on a plate with a slice taken out
Berries and Buttermilk Puddings,The food item in the image is yogurt.,three glasses of yogurt with blueberries and raspberries on a table,three glasses of yogurt with blueberries and raspberries on a table,three glasses of yogurt with blueberries and raspberries on a table
Brined Fried Chicken,The food item in the image is fried chicken.,fried chicken is served on a white plate on a tiled floor,fried chicken on a white plate next to a bottle of wine,a white plate with fried chicken on it sits on a tiled floor
Grilled Hot Dogs with Mango Chutney and Red Onion Relish,The food item in the image is a hot dog.,a hot dog on a bun with mustard and relish,"ketchup, mustard, relish, onion, celery salt, hot sauce",a person is holding a hot dog on a plate with ketchup and mustard on it
Chai-Spiced Cheesecake with Ginger Crust,The food item in the image is cheesecake.,a slice of cheesecake on a plate with a fork,"graham cracker crust, cream cheese, sugar, vanilla",a slice of cheesecake on a plate with a fork
Coconut Red-Lentil Curry,The food item in the image is a bowl of soup.,a bowl of tomato soup with parsley in it,a bowl of tomato soup with parsley on a bamboo mat,a bowl of soup is sitting on top of a bamboo mat
Burgers with Mozzarella and Spinach-Arugula Pesto,The food item in the image is a burger.,"a burger with lettuce, tomato and pesto on a white plate","a burger with tomato, lettuce and pesto on a white plate",a burger with lettuce and tomato on a white plate
Crispy Spring Rolls (Cha Gio),The food item in the image is spring rolls.,chinese spring rolls are being cooked in a wok,chinese spring rolls are being cooked in a wok,chinese spring rolls being cooked in a wok
"Caramelized Chocolate, Banana, and Marshmallow Sandwiches",The food item in the image is a grilled sandwich.,a grilled cheese sandwich with marshmallows and chocolate chips,two grilled sandwiches on a plate,two grilled sandwiches on a plate
Pasta Cacio e Pepe,The food item in the image is penne pasta.,penne pasta with spinach and parmesan cheese,penne pasta with spinach and parmesan cheese,penne pasta with spinach and parmesan cheese
Buttermilk Pancakes,The food item in the image is pancakes.,a stack of pancakes with syrup being poured over them,a stack of pancakes with syrup being poured over them,a stack of pancakes with syrup being poured over them
