lasagna-with-turkey-sausage-bolognese-364032,"Which is the food item in the image?
lasagna","Generate a recipe for the dish shown in the image.
lasagna","Provide the list of ingredients.
lasagna","Provide step-by-step instructions.
lasagna"
chocolate-mayonnaise-cake-358241,"Which is the food item in the image?
Chocolate cake","Generate a recipe for the dish shown in the image.
chocolate cake","Provide the list of ingredients.
chocolate cake","Provide step-by-step instructions.
chocolate cake"
berries-and-buttermilk-puddings-354998,"Which is the food item in the image?
yogurt","Generate a recipe for the dish shown in the image.
yogurt with berries","Provide the list of ingredients.
yogurt","Provide step-by-step instructions.
yogurt"
brined-fried-chicken-352449,"Which is the food item in the image?
Fried chicken","Generate a recipe for the dish shown in the image.
fried chicken","Provide the list of ingredients.
fried chicken","Provide step-by-step instructions.
crispy fried chicken"
grilled-hot-dogs-with-mango-chutney-and-red-onion-relish-238792,"Which is the food item in the image?
hot dog","Generate a recipe for the dish shown in the image.
hot dog","Provide the list of ingredients.
hot dog","Provide step-by-step instructions.
hot dog"
chai-spiced-cheesecake-with-ginger-crust-237113,"Which is the food item in the image?
cheesecake","Generate a recipe for the dish shown in the image.
cheesecake","Provide the list of ingredients.
cheesecake","Provide step-by-step instructions.
cheesecake"
coconut-red-lentil-curry-236684,"Which is the food item in the image?
soup","Generate a recipe for the dish shown in the image.
red lentil soup","Provide the list of ingredients.
soup","Provide step-by-step instructions.
soup"
burgers-with-mozzarella-and-spinach-arugula-pesto-235619,"Which is the food item in the image?
burger","Generate a recipe for the dish shown in the image.
black bean burger","Provide the list of ingredients.
burger","Provide step-by-step instructions.
recipe"
crispy-spring-rolls-232437,"Which is the food item in the image?
spring roll","Generate a recipe for the dish shown in the image.
fried spring rolls","Provide the list of ingredients.
spring rolls","Provide step-by-step instructions.
fry the spring rolls"
caramelized-chocolate-banana-and-marshmallow-sandwiches-234440,"Which is the food item in the image?
grilled cheese sandwich","Generate a recipe for the dish shown in the image.
s mores grilled cheese","Provide the list of ingredients.
grilled cheese sandwich","Provide step-by-step instructions.
grilled cheese sandwich"
pasta-cacio-e-pepe-232112,"Which is the food item in the image?
pasta","Generate a recipe for the dish shown in the image.
spinach and cheese pasta","Provide the list of ingredients.
pasta","Provide step-by-step instructions.
pasta"
buttermilk-pancakes-109480,"Which is the food item in the image?
pancake","Generate a recipe for the dish shown in the image.
pancakes","Provide the list of ingredients.
pancakes","Provide step-by-step instructions.
syrup being poured on pancakes"
